Year,Trade Flow,Reporter,Reporter ISO,Partner,Partner ISO,Trade Value (US$)
2016,M,France,FRA,"China, Hong Kong SAR",HKG,895594200
2016,M,France,FRA,Hungary,HUN,4542723203
2016,M,France,FRA,Iceland,ISL,310942404
2016,M,France,FRA,Indonesia,IDN,1867212952
2016,M,France,FRA,Iran,IRN,1531894595
2016,M,France,FRA,Iraq,IRQ,176279009
2016,M,France,FRA,Ireland,IRL,7383338075
2016,M,France,FRA,Israel,ISR,1379689269
2016,M,France,FRA,Italy,ITA,42036498071
2016,M,France,FRA,Côte d'Ivoire,CIV,871328943
2016,M,France,FRA,Jamaica,JAM,12588059
2016,M,France,FRA,Japan,JPN,10386995115
2016,M,France,FRA,Kazakhstan,KAZ,2787505299
2016,M,France,FRA,Jordan,JOR,34589682
2016,M,France,FRA,Kenya,KEN,98633896
2016,M,France,FRA,Dem. People's Rep. of Korea,PRK,11393070
2016,M,France,FRA,Rep. of Korea,KOR,3598408084
2016,M,France,FRA,Kuwait,KWT,424266713
2016,M,France,FRA,Kyrgyzstan,KGZ,938161
2016,M,France,FRA,Lao People's Dem. Rep.,LAO,20153344
2016,M,France,FRA,Lebanon,LBN,52601357
2016,M,France,FRA,Lesotho,LSO,73060
2016,M,France,FRA,Latvia,LVA,188515315
2016,M,France,FRA,Liberia,LBR,24896654
2016,M,France,FRA,Libya,LBY,561360796
2016,M,France,FRA,Lithuania,LTU,723396007
2016,M,France,FRA,Luxembourg,LUX,1632960151
2016,M,France,FRA,"China, Macao SAR",MAC,14659462
2016,M,France,FRA,Madagascar,MDG,525022866
2016,M,France,FRA,Malawi,MWI,2650605
2016,M,France,FRA,Malaysia,MYS,2400245071
2016,M,France,FRA,Maldives,MDV,22206517
2016,M,France,FRA,Mali,MLI,11935545
2016,M,France,FRA,Malta,MLT,242875285
2016,M,France,FRA,Mauritania,MRT,47905414
2016,M,France,FRA,Mauritius,MUS,314039576
2016,M,France,FRA,Mexico,MEX,2735515083
2016,M,France,FRA,"Other Asia, nes",S19,3041170675
2016,M,France,FRA,Mongolia,MNG,6090335
2016,M,France,FRA,Rep. of Moldova,MDA,58756736
2016,M,France,FRA,Montenegro,MNE,3306469
2016,M,France,FRA,Montserrat,MSR,775307
2016,M,France,FRA,Mozambique,MOZ,104283571
2016,M,France,FRA,Morocco,MAR,4701496361
2016,M,France,FRA,Namibia,NAM,145488473
2016,M,France,FRA,Oman,OMN,22570100
2016,M,France,FRA,Nauru,NRU,1598862
2016,M,France,FRA,Nepal,NPL,15856040
2016,M,France,FRA,Netherlands,NLD,25537080352
2016,M,France,FRA,Aruba,ABW,146701
2016,M,France,FRA,Curaçao,CUW,15121098
2016,M,France,FRA,Saint Maarten,SXM,1433604
2016,M,France,FRA,Bonaire,BES,2805635
2016,M,France,FRA,New Caledonia,NCL,70214813
2016,M,France,FRA,Vanuatu,VUT,1056553
2016,M,France,FRA,New Zealand,NZL,422156226
2016,M,France,FRA,Nicaragua,NIC,58134513
2016,M,France,FRA,Niger,NER,243471248
2016,M,France,FRA,Niue,NIU,32164
2016,M,France,FRA,Norfolk Isds,NFK,188
2016,M,France,FRA,"Other Africa, nes",F19,41545
2016,M,France,FRA,Nigeria,NGA,2365676475
2016,M,France,FRA,N. Mariana Isds,MNP,16005
2016,M,France,FRA,United States Minor Outlying Islands,UMI,56442
2016,M,France,FRA,FS Micronesia,FSM,4698
2016,M,France,FRA,Norway,NOR,3669952468
2016,M,France,FRA,Marshall Isds,MHL,715398
2016,M,France,FRA,Palau,PLW,7926
2016,M,France,FRA,Pakistan,PAK,859655473
2016,M,France,FRA,Papua New Guinea,PNG,17518335
2016,M,France,FRA,Panama,PAN,15623888
2016,M,France,FRA,Paraguay,PRY,31757576
2016,M,France,FRA,Peru,PER,491992490
2016,M,France,FRA,Philippines,PHL,935419076
2016,M,France,FRA,Pitcairn,PCN,362539
2016,M,France,FRA,Poland,POL,10032923506
2016,M,France,FRA,Portugal,PRT,6186232068
2016,M,France,FRA,Guinea-Bissau,GNB,25146
2016,M,France,FRA,Timor-Leste,TLS,391408
2016,M,France,FRA,Qatar,QAT,249735449
2016,M,France,FRA,Romania,ROU,4192282564
2016,M,France,FRA,Russian Federation,RUS,6119262976
2016,M,France,FRA,Rwanda,RWA,2977795
2016,M,France,FRA,Saint Barthélemy,BLM,3717409
2016,M,France,FRA,Saint Helena,SHN,472523
2016,M,France,FRA,Saint Kitts and Nevis,KNA,288115
2016,M,France,FRA,Anguilla,AIA,407552
2016,M,France,FRA,Saint Lucia,LCA,1295427
2016,M,France,FRA,Saint Pierre and Miquelon,SPM,629605
2016,M,France,FRA,Saint Vincent and the Grenadines,VCT,111415413
2016,M,France,FRA,San Marino,SMR,9225584
2016,M,France,FRA,Sao Tome and Principe,STP,1107972
2016,M,France,FRA,Saudi Arabia,SAU,4174521391
2016,M,France,FRA,Senegal,SEN,83936932
2016,M,France,FRA,Serbia,SRB,432488661
2016,M,France,FRA,Seychelles,SYC,116823641
2016,M,France,FRA,Sierra Leone,SLE,20188903
2016,M,France,FRA,India,IND,5177030397
2016,M,France,FRA,Singapore,SGP,2367822591
2016,M,France,FRA,Slovakia,SVK,4469772377
2016,M,France,FRA,Viet Nam,VNM,4994268426
2016,M,France,FRA,Slovenia,SVN,1232067412
2016,M,France,FRA,Somalia,SOM,11036898
2016,M,France,FRA,South Africa,ZAF,1039848357
2016,M,France,FRA,Zimbabwe,ZWE,28173836
2016,M,France,FRA,South Sudan,SSD,931
2016,M,France,FRA,Sudan,SDN,56305298
2016,M,France,FRA,Western Sahara,ESH,2320
2016,M,France,FRA,Spain,ESP,35769294160
2016,M,France,FRA,Suriname,SUR,41720868
2016,M,France,FRA,Eswatini,SWZ,11030789
2016,M,France,FRA,Sweden,SWE,5996609442
2016,M,France,FRA,Switzerland,CHE,15660339420
2016,M,France,FRA,Syria,SYR,3889294
2016,M,France,FRA,Tajikistan,TJK,951242
2016,M,France,FRA,Thailand,THA,2877216294
2016,M,France,FRA,Togo,TGO,11632070
2016,M,France,FRA,Tokelau,TKL,3307009
2016,M,France,FRA,Trinidad and Tobago,TTO,199952008
2016,M,France,FRA,Tonga,TON,363317
2016,M,France,FRA,United Arab Emirates,ARE,1160398181
2016,M,France,FRA,Tunisia,TUN,4608721902
2016,M,France,FRA,Turkey,TUR,7792753203
2016,M,France,FRA,Turkmenistan,TKM,35254675
2016,M,France,FRA,Turks and Caicos Isds,TCA,135841
2016,M,France,FRA,Tuvalu,TUV,43775
2016,M,France,FRA,Uganda,UGA,14386725
2016,M,France,FRA,Ukraine,UKR,631025780
2016,M,France,FRA,North Macedonia,MKD,57979951
2016,M,France,FRA,Egypt,EGY,545087122
2016,M,France,FRA,United Kingdom,GBR,21536171341
2016,M,France,FRA,United Rep. of Tanzania,TZA,62817033
2016,M,France,FRA,USA,USA,39678969318
2016,M,France,FRA,Burkina Faso,BFA,20171901
2016,M,France,FRA,Uruguay,URY,139335192
2016,M,France,FRA,Uzbekistan,UZB,66133961
2016,M,France,FRA,Wallis and Futuna Isds,WLF,74084
2016,M,France,FRA,Samoa,WSM,20033
2016,M,France,FRA,Yemen,YEM,900632
2016,M,France,FRA,Zambia,ZMB,12138848
2016,M,France,FRA,Venezuela,VEN,76881646
2016,M,France,FRA,"Areas, nes",_X ,16774281737
2017,M,France,FRA,Afghanistan,AFG,8335749
2017,M,France,FRA,Albania,ALB,114391829
2017,M,France,FRA,Algeria,DZA,3830531881
2017,M,France,FRA,American Samoa,ASM,83889
2017,M,France,FRA,Andorra,AND,16193085
2017,M,France,FRA,Angola,AGO,370588475
2017,M,France,FRA,Antigua and Barbuda,ATG,1203924
2017,M,France,FRA,Azerbaijan,AZE,718911328
2017,M,France,FRA,Argentina,ARG,417793148
2017,M,France,FRA,Australia,AUS,1355591416
2017,M,France,FRA,Austria,AUT,7408502148
2017,M,France,FRA,Bahamas,BHS,25046917
2017,M,France,FRA,Bahrain,BHR,238524518
2017,M,France,FRA,Bangladesh,BGD,2771812472
2017,M,France,FRA,Armenia,ARM,9573269
2017,M,France,FRA,Barbados,BRB,7523584
2017,M,France,FRA,Belgium,BEL,41279231117
2017,M,France,FRA,Bermuda,BMU,663486
2017,M,France,FRA,Bhutan,BTN,3004813
2017,M,France,FRA,Bolivia (Plurinational State of),BOL,91882922
2017,M,France,FRA,Bosnia Herzegovina,BIH,140214212
2017,M,France,FRA,Botswana,BWA,6227702
2017,M,France,FRA,Brazil,BRA,3331207869
2017,M,France,FRA,Belize,BLZ,9362164
2017,M,France,FRA,Br. Virgin Isds,VGB,21105830
2017,M,France,FRA,Brunei Darussalam,BRN,3066960
2017,M,France,FRA,Bulgaria,BGR,1225966156
2017,M,France,FRA,Myanmar,MMR,253312850
2017,M,France,FRA,Burundi,BDI,1927116
2017,M,France,FRA,Belarus,BLR,59973568
2017,M,France,FRA,Cambodia,KHM,1040123599
2017,M,France,FRA,Cameroon,CMR,540694996
2017,M,France,FRA,Canada,CAN,3517121418
2017,M,France,FRA,Cabo Verde,CPV,411333
2017,M,France,FRA,Cayman Isds,CYM,14150257
2017,M,France,FRA,Sri Lanka,LKA,363024407
2017,M,France,FRA,Chad,TCD,9831380
2017,M,France,FRA,Chile,CHL,1231411183
2017,M,France,FRA,China,CHN,55401050257
2017,M,France,FRA,Antarctica,ATA,1273413
2017,M,France,FRA,Bouvet Island,BVT,1445550
2017,M,France,FRA,Br. Indian Ocean Terr.,IOT,114055
2017,M,France,FRA,Solomon Isds,SLB,1418328
2017,M,France,FRA,Central African Rep.,CAF,3592459
2017,M,France,FRA,Cocos Isds,CCK,84137
2017,M,France,FRA,Falkland Isds (Malvinas),FLK,731933
2017,M,France,FRA,Grenada,GRD,1681547
2017,M,France,FRA,Dem. People's Rep. of Korea,PRK,3
2017,M,France,FRA,Lesotho,LSO,185805
2017,M,France,FRA,Christmas Isds,CXR,463409
2017,M,France,FRA,Colombia,COL,562536580
2017,M,France,FRA,Comoros,COM,15131096
2017,M,France,FRA,Congo,COG,44255635
2017,M,France,FRA,Dem. Rep. of the Congo,COD,17249160
2017,M,France,FRA,Cook Isds,COK,1068816
2017,M,France,FRA,Costa Rica,CRI,252318222
2017,M,France,FRA,Croatia,HRV,295952511
2017,M,France,FRA,Cuba,CUB,39208713
2017,M,France,FRA,Cyprus,CYP,46295323
2017,M,France,FRA,Czechia,CZE,7909111718
2017,M,France,FRA,Benin,BEN,3509712
2017,M,France,FRA,Denmark,DNK,3052416898
2017,M,France,FRA,Dominica,DMA,1508352
2017,M,France,FRA,Dominican Rep.,DOM,164928645
2017,M,France,FRA,Ecuador,ECU,450903765
2017,M,France,FRA,El Salvador,SLV,16414077
2017,M,France,FRA,Equatorial Guinea,GNQ,163762082
2017,M,France,FRA,Ethiopia,ETH,45727639
2017,M,France,FRA,Eritrea,ERI,23265
2017,M,France,FRA,Estonia,EST,399618502
2017,M,France,FRA,Faeroe Isds,FRO,38061335
2017,M,France,FRA,South Georgia and the South Sandwich Islands,SGS,37608
2017,M,France,FRA,Fiji,FJI,2309355
2017,M,France,FRA,Finland,FIN,2696787776
2017,M,France,FRA,French Polynesia,PYF,23942083
2017,M,France,FRA,Fr. South Antarctic Terr.,ATF,8646612
2017,M,France,FRA,Djibouti,DJI,3039342
2017,M,France,FRA,Gabon,GAB,126862687
2017,M,France,FRA,Georgia,GEO,40323257
2017,M,France,FRA,Gambia,GMB,193167
2017,M,France,FRA,State of Palestine,PSE,3219943
2017,M,France,FRA,Germany,DEU,97082207072
2017,M,France,FRA,Ghana,GHA,360768096
2017,M,France,FRA,Gibraltar,GIB,3398988
2017,M,France,FRA,Kiribati,KIR,4829
2017,M,France,FRA,Greece,GRC,813169015
2017,M,France,FRA,Greenland,GRL,3484535
2017,M,France,FRA,Guam,GUM,1588005
2017,M,France,FRA,Guatemala,GTM,51318572
2017,M,France,FRA,Guinea,GIN,101346847
2017,M,France,FRA,Guyana,GUY,10753727
2017,M,France,FRA,Haiti,HTI,20401946
2017,M,France,FRA,Holy See (Vatican City State),VAT,220224
2017,M,France,FRA,Honduras,HND,119506113
2017,M,France,FRA,"China, Hong Kong SAR",HKG,757882915
2017,M,France,FRA,Hungary,HUN,4728308470
2017,M,France,FRA,Iceland,ISL,361021381
2017,M,France,FRA,Indonesia,IDN,2056719141
2017,M,France,FRA,Iran,IRN,2619789752
2017,M,France,FRA,Iraq,IRQ,143485201
2017,M,France,FRA,Ireland,IRL,7554839004
2017,M,France,FRA,Israel,ISR,1471502605
2017,M,France,FRA,Italy,ITA,47044647683
2017,M,France,FRA,Côte d'Ivoire,CIV,950418793
2017,M,France,FRA,Jamaica,JAM,30828079
2017,M,France,FRA,Japan,JPN,11202311419
2017,M,France,FRA,Kazakhstan,KAZ,4086340333
2017,M,France,FRA,Jordan,JOR,24325297
2017,M,France,FRA,Kenya,KEN,115073625
2017,M,France,FRA,Rep. of Korea,KOR,3881480542
2017,M,France,FRA,Kuwait,KWT,377688147
2017,M,France,FRA,Kyrgyzstan,KGZ,1171683
2017,M,France,FRA,Lao People's Dem. Rep.,LAO,24522421
2017,M,France,FRA,Lebanon,LBN,53124644
2017,M,France,FRA,Latvia,LVA,208644103
2017,M,France,FRA,Liberia,LBR,18789018
2017,M,France,FRA,Libya,LBY,1564607106
2017,M,France,FRA,Lithuania,LTU,755056119
2017,M,France,FRA,Luxembourg,LUX,1806342997
2017,M,France,FRA,"China, Macao SAR",MAC,10028073
2017,M,France,FRA,Madagascar,MDG,700715655
2017,M,France,FRA,Malaysia,MYS,2397613008
2017,M,France,FRA,Maldives,MDV,24199818
2017,M,France,FRA,Mali,MLI,10860520
2017,M,France,FRA,Malta,MLT,243906640
2017,M,France,FRA,Mauritania,MRT,43190719
2017,M,France,FRA,Mauritius,MUS,349146163
2017,M,France,FRA,Mexico,MEX,2760994800
2017,M,France,FRA,"Other Asia, nes",S19,3365245093
2017,M,France,FRA,Mongolia,MNG,4856023
2017,M,France,FRA,Rep. of Moldova,MDA,61275827
2017,M,France,FRA,Montenegro,MNE,3752370
2017,M,France,FRA,Montserrat,MSR,889229
2017,M,France,FRA,Morocco,MAR,5624473095
2017,M,France,FRA,Mozambique,MOZ,138260658
2017,M,France,FRA,Oman,OMN,22972587
2017,M,France,FRA,Namibia,NAM,118699762
2017,M,France,FRA,Nauru,NRU,1684224
2017,M,France,FRA,Nepal,NPL,15117613
2017,M,France,FRA,Netherlands,NLD,28712258226
2017,M,France,FRA,Curaçao,CUW,458439
2017,M,France,FRA,Aruba,ABW,68565
2017,M,France,FRA,Saint Maarten,SXM,2289637
2017,M,France,FRA,New Caledonia,NCL,24558769
2017,M,France,FRA,Vanuatu,VUT,76085
2017,M,France,FRA,New Zealand,NZL,416145228
2017,M,France,FRA,Nicaragua,NIC,50109785
2017,M,France,FRA,Niger,NER,269452903
2017,M,France,FRA,Nigeria,NGA,2800276778
2017,M,France,FRA,Niue,NIU,183281
2017,M,France,FRA,Norway,NOR,4311160974
2017,M,France,FRA,N. Mariana Isds,MNP,26043
2017,M,France,FRA,United States Minor Outlying Islands,UMI,288632
2017,M,France,FRA,FS Micronesia,FSM,15409
2017,M,France,FRA,Palau,PLW,12802
2017,M,France,FRA,Pakistan,PAK,970866775
2017,M,France,FRA,Panama,PAN,14521650
2017,M,France,FRA,Papua New Guinea,PNG,27054797
2017,M,France,FRA,Paraguay,PRY,18799015
2017,M,France,FRA,Peru,PER,517864897
2017,M,France,FRA,Philippines,PHL,1150442041
2017,M,France,FRA,Poland,POL,11388002983
2017,M,France,FRA,Portugal,PRT,6753047426
2017,M,France,FRA,Qatar,QAT,735602324
2017,M,France,FRA,Romania,ROU,4347438177
2017,M,France,FRA,Russian Federation,RUS,8606525189
2017,M,France,FRA,Rwanda,RWA,3511971
2017,M,France,FRA,Saint Barthélemy,BLM,5179129
2017,M,France,FRA,Saint Helena,SHN,121335
2017,M,France,FRA,Saint Kitts and Nevis,KNA,380702
2017,M,France,FRA,Saint Lucia,LCA,993345
2017,M,France,FRA,Saint Pierre and Miquelon,SPM,904073
2017,M,France,FRA,Saint Vincent and the Grenadines,VCT,101835642
2017,M,France,FRA,San Marino,SMR,12330215
2017,M,France,FRA,Sao Tome and Principe,STP,1054136
