AFFILIATE_COUNTRY_NAME;UNRELATED_PARTY_REVENUES;RELATED_PARTY_REVENUES;TOTAL_REVENUES
St. Kitts and Nevis;125003401;77555438;202558839
St. Lucia Island;123213342;5263728;128477070
Trinidad and Tobago;1433132534;747435361;2180567895
Uruguay;3692132819;1341091507;5033224326
Venezuela;815024534;33070845;848095379
Virgin Islands;1672917326;121019020;1793936346
Other Americas;544423470;121176736;665600206
Armenia;28336426;45262698;73599124
Australia;139726948694;24820875776;164547824470
Azerbaijan;866631283;61115769;927747052
Bahrain;1688860396;450680603;2139540999
Bangladesh;1366111367;28850175;1394961542
Brunei;154656502;6056252;160712754
Burma;332920374;18264010;351184384
Cambodia;430365870;46288000;476653870
China;259181987128;177815387847;436997374975
Fiji;58919443;202072325;260991768
Georgia;196197354;4664356;200861710
Guam;553032651;7735702;560768353
Hong Kong;128448201609;57949840936;186398042545
India;69146401357;51187102213;120333503569
Indonesia;19622838707;8875241701;28498080408
Iraq;1472932670;119078157;1592010827
Israel;9210539612;16464081465;25674621076
Japan;230409394838;30221498210;260630893048
Jordan;476335002;422992899;899327901
Kazakhstan;2197396265;121830226;2319226491
Korea;64900086913;23141213440;88041300352
Kuwait;972489794;507079608;1479569402
Lebanon;195292800;70727495;266020295
Macau;18447464848;9979680808;28427145656
Malaysia;23537032169;26522479315;50059511484
New Zealand;10659873250;1958459503;12618332753
Oman;1415609890;1395112049;2810721939
Pakistan;2372756634;299152305;2671908939
Papua-New Guinea;166862474;19826185;186688659
Qatar;3666646614;151083336;3817729950
Philippines;12966846765;13524332355;26491179120
Saudi Arabia;10878077709;2831412929;13709490638
Singapore;265102249145;331452753267;596555002412
Sri Lanka;294059838;121432344;415492182
Taiwan;34476028891;18493887666;52969916556
Thailand;32557371494;22936341032;55493712526
United Arab Emirates;64676294880;9782574425;74458869305
Vietnam;7105607289;2561477969;9667085258
Other Asia and Oceania;739138188;248971321;988109509
Albania;75382007;1149964;76531971
Austria;16943848564;4715713654;21659562218
Belarus;112314691;74998557;187313248
Belgium;52700932501;90491566448;143192498949
Bosnia-Herzegovina;139638343;28331793;167970136
Bulgaria;2079259428;1396447018;3475706446
Croatia;849312353;353139315;1202451668
Cyprus;196915659;1209133205;1406048864
Czech Republic;12410722035;8389346948;20800068983
Denmark;13208420806;7327182679;20535603485
Estonia;343085997;355931998;699017995
Finland;8745065213;4554875972;13299941185
France;142694075008;60403796491;203097871500
Germany;236383497411;124899147144;361282644556
Gibraltar;355987262;491888753;847876015
Greece;4671409819;962080287;5633490106
Guernsey;269461815;270431025;539892840
Hungary;10667259233;7653948141;18321207374
Iceland;293869444;1725874825;2019744269
Ireland;308559353545;382431335239;690990688784
Isle of Man;2103000237;22884037510;24987037746
Italy;81811797660;25749508961;107561306621
Jersey;5529605011;14053791074;19583396085
Latvia;233306932;217244117;450551049
Lithuania;603036583;1066974472;1670011055
Luxembourg;36465442910;92369817267;128835260177
Macedonia;58669613;271554204;330223817
Malta;2696465141;-410296113;2286169028
Moldova;43598135;111333156;154931291
Monaco;248804421;357631713;606436134
Netherlands;150048268646;247032136148;397080404794
Norway;16983973665;7500973029;24484946694
Poland;28978271109;20128263111;49106534219
Portugal;9040280962;2503113467;11543394428
Romania;7313881619;7818834171;15132715790
Russia;43684391763;9780278932;53464670695
Serbia;1102566322;620069443;1722635765
Slovakia;6888032102;3498213061;10386245163
Slovenia;1073422575;352120547;1425543122
Spain;66231259749;28441186939;94672446688
Sweden;23230060365;15192040249;38422100614
Switzerland;208479564231;306489120259;514968684490
Turkey;24125485711;4247704046;28373189757
Ukraine;3859464131;2749774578;6609238709
United Kingdom;556599758576;181240310436;737840069013
Other Europe;251994324;-71704390;180289934
